,data_loss,physic_loss,
453,0.061622884,1.73E-11,9.552845495
454,0.061619818,1.77E-11,9.542512324
455,0.061616734,1.77E-11,9.542259286
456,0.061613638,1.83E-11,9.528198827
457,0.061610527,1.81E-11,9.532095602
458,0.061607406,1.88E-11,9.51461731
459,0.061604273,1.88E-11,9.514808046
460,0.061601121,1.91E-11,9.509450222
461,0.061597958,1.92E-11,9.506033385
462,0.061594781,1.93E-11,9.50468623
463,0.061591592,1.96E-11,9.497943495
464,0.061588384,1.94E-11,9.50062304
465,0.061585169,1.99E-11,9.490279255
466,0.061581936,2.03E-11,9.482082581
467,0.061578687,2.06E-11,9.476065574
468,0.061575424,2.15E-11,9.457326066
469,0.061572146,2.16E-11,9.455580055
470,0.061568856,2.19E-11,9.448644205
471,0.061565556,2.22E-11,9.44383167
472,0.061562229,2.23E-11,9.441024296
473,0.061558891,2.23E-11,9.440509792
474,0.061555542,2.26E-11,9.434934698
475,0.061552174,2.28E-11,9.431258269
476,0.061548788,2.32E-11,9.422961465
477,0.061545391,2.36E-11,9.4165217
478,0.061541982,2.35E-11,9.418931093
479,0.061538551,2.39E-11,9.410086737
480,0.061535101,2.43E-11,9.403007569
481,0.061531641,2.46E-11,9.3980776
482,0.061528161,2.55E-11,9.381899405
483,0.061524674,2.56E-11,9.381324707
484,0.061521158,2.59E-11,9.376142742
485,0.061517633,2.68E-11,9.36010837
486,0.061514091,2.65E-11,9.365548585
487,0.061510526,2.72E-11,9.35377555
488,0.061506946,2.74E-11,9.350554085
489,0.061503354,2.79E-11,9.343136743
490,0.061499748,2.83E-11,9.337795214
491,0.061496116,2.85E-11,9.334642681
492,0.061492462,2.89E-11,9.327317109
493,0.0614888,2.89E-11,9.328318151
494,0.061485112,2.95E-11,9.318946474
495,0.061481413,2.96E-11,9.3179999
496,0.061477695,3.03E-11,9.306886861
497,0.061473958,3.05E-11,9.303745811
498,0.061470199,3.15E-11,9.290991865
499,0.061466422,3.18E-11,9.2862554
500,0.061462626,3.24E-11,9.277810268
501,0.061458811,3.29E-11,9.271673233
502,0.061454978,3.32E-11,9.267403574
503,0.061451118,3.38E-11,9.259708711
504,0.061447252,3.42E-11,9.254081556
505,0.061443355,3.45E-11,9.250684083
506,0.061439447,3.46E-11,9.249356482
507,0.061435513,3.50E-11,9.244535619
508,0.061431564,3.57E-11,9.236286689
509,0.061427586,3.62E-11,9.230127958
510,0.061423589,3.65E-11,9.226338397
511,0.061419565,3.71E-11,9.218986399
512,0.061415538,3.75E-11,9.213896326
513,0.061411481,3.82E-11,9.205646099
514,0.061407398,3.83E-11,9.204692309
515,0.061403293,3.96E-11,9.190096947
516,0.061399173,4.03E-11,9.18298219
517,0.061395023,4.07E-11,9.178338382
518,0.061390854,4.10E-11,9.175641778
519,0.061386663,4.15E-11,9.169977523
520,0.061382454,4.23E-11,9.161536063
521,0.061378207,4.24E-11,9.160294395
522,0.061373949,4.33E-11,9.151352559
523,0.061369661,4.35E-11,9.149516234
524,0.061365355,4.40E-11,9.144865714
525,0.061361026,4.42E-11,9.142430789
526,0.061356664,4.58E-11,9.12716632
527,0.061352286,4.61E-11,9.124037449
528,0.061347876,4.72E-11,9.113515954
529,0.061343446,4.81E-11,9.105371
530,0.061338987,4.88E-11,9.099559545
531,0.061334506,4.92E-11,9.096014639
532,0.061329994,4.93E-11,9.094806768
533,0.061325464,4.97E-11,9.091102553
534,0.061320897,5.04E-11,9.084862076
535,0.061316308,5.14E-11,9.076474221
536,0.061311688,5.16E-11,9.074892622
537,0.06130705,5.21E-11,9.070989771
538,0.061302375,5.28E-11,9.06468796
539,0.061297681,5.33E-11,9.060994901
540,0.061292954,5.52E-11,9.045728976
541,0.061288197,5.62E-11,9.037465224
542,0.061283413,5.75E-11,9.027436067
543,0.0612786,5.86E-11,9.019692094
544,0.061273757,5.93E-11,9.014355202
545,0.061268885,5.97E-11,9.01145062
546,0.061263978,5.97E-11,9.010901054
547,0.06125905,6.01E-11,9.008570238
548,0.06125408,6.07E-11,9.004244755
549,0.061249081,6.21E-11,8.993665036
550,0.061244056,6.33E-11,8.985589466
551,0.061238997,6.54E-11,8.97170333
552,0.061233897,6.58E-11,8.968491548
553,0.061228774,6.72E-11,8.959781752
554,0.061223615,6.82E-11,8.953339219
555,0.061218426,6.88E-11,8.949577816
556,0.061213199,6.96E-11,8.944174233
557,0.061207939,7.14E-11,8.93340329
558,0.061202645,7.14E-11,8.932937341
559,0.061197314,7.30E-11,8.923338082
560,0.061191943,7.36E-11,8.919990837
561,0.061186552,7.44E-11,8.915191529
562,0.061181102,7.60E-11,8.905556834
563,0.061175633,7.73E-11,8.89825176
564,0.061170116,7.88E-11,8.890038512
565,0.061164562,7.99E-11,8.884212296
566,0.061158974,8.04E-11,8.8810055
567,0.061153349,8.19E-11,8.873031888
568,0.061147679,8.22E-11,8.871414845
569,0.061141971,8.41E-11,8.861346133
570,0.061136223,8.56E-11,8.853874804
571,0.061130438,8.73E-11,8.84548928
572,0.061124604,8.84E-11,8.839700994
573,0.061118733,9.05E-11,8.829689442
574,0.061112821,9.12E-11,8.825976807
575,0.061106857,9.29E-11,8.818085195
576,0.061100855,9.40E-11,8.812768296
577,0.061094809,9.53E-11,8.806917846
578,0.061088715,9.60E-11,8.803671425
579,0.061082579,9.68E-11,8.79987397
580,0.061076395,9.86E-11,8.79193064
581,0.061070167,1.01E-10,8.783627643
582,0.061063886,1.03E-10,8.774624484
583,0.06105756,1.05E-10,8.765325795
584,0.06105119,1.07E-10,8.755706216
585,0.061044764,1.08E-10,8.752102891
586,0.061038289,1.10E-10,8.744920775
587,0.061031766,1.12E-10,8.734589776
588,0.061025191,1.14E-10,8.730059579
589,0.06101856,1.15E-10,8.725399768
590,0.061011877,1.16E-10,8.720691334
591,0.061005138,1.19E-10,8.709650053
592,0.060998343,1.21E-10,8.701565675
593,0.060991503,1.24E-10,8.693535227
594,0.060984597,1.26E-10,8.685567367
595,0.06097763,1.28E-10,8.677636036
596,0.060970619,1.30E-10,8.66986794
597,0.060963534,1.32E-10,8.665064688
598,0.0609564,1.34E-10,8.657782503
599,0.060949203,1.35E-10,8.653322489
600,0.060941942,1.38E-10,8.643743709
601,0.060934614,1.41E-10,8.634218495
